timestamp,open,high,low,close,volume
2026-06-17 10:15:00,4322.71,4324.78,4319.52,4323.51,4329.0
2026-06-17 10:30:00,4323.53,4324.26,4318.85,4319.88,3516.0
2026-06-17 10:45:00,4319.75,4325.34,4317.02,4324.61,3575.0
2026-06-17 11:00:00,4324.64,4325.62,4321.11,4325.14,2876.0
2026-06-17 11:15:00,4325.02,4332.95,4325.02,4331.82,3501.0
2026-06-17 11:30:00,4331.77,4335.52,4328.02,4328.3,3166.0
2026-06-17 11:45:00,4328.34,4329.57,4325.49,4329.27,2580.0
2026-06-17 12:00:00,4329.41,4330.93,4327.52,4330.74,2872.0
2026-06-17 12:15:00,4330.78,4330.82,4326.61,4328.85,2640.0
2026-06-17 12:30:00,4328.91,4331.09,4326.99,4330.76,2323.0
2026-06-17 12:45:00,4330.74,4334.99,4330.5,4331.24,2752.0
2026-06-17 13:00:00,4331.26,4331.78,4327.7,4328.95,3369.0
2026-06-17 13:15:00,4328.97,4331.59,4327.71,4328.68,2814.0
2026-06-17 13:30:00,4328.7,4328.8,4324.17,4325.76,3481.0
2026-06-17 13:45:00,4325.74,4327.02,4320.88,4322.99,3339.0
2026-06-17 14:00:00,4323.07,4324.74,4319.65,4323.32,4415.0
2026-06-17 14:15:00,4323.31,4327.39,4321.64,4324.5,3798.0
2026-06-17 14:30:00,4324.43,4332.02,4323.36,4331.49,3769.0
2026-06-17 14:45:00,4331.51,4335.28,4330.89,4333.45,3179.0
2026-06-17 15:00:00,4333.43,4334.09,4323.89,4331.72,5251.0
2026-06-17 15:15:00,4331.7,4338.23,4330.71,4335.11,4353.0
2026-06-17 15:30:00,4335.19,4341.74,4332.3,4341.62,6510.0
2026-06-17 15:45:00,4341.46,4345.04,4338.94,4339.54,6010.0
2026-06-17 16:00:00,4339.53,4345.83,4335.46,4342.16,6207.0
2026-06-17 16:15:00,4342.18,4361.99,4340.77,4359.95,7512.0
2026-06-17 16:30:00,4360.02,4363.82,4347.09,4351.73,7574.0
2026-06-17 16:45:00,4351.75,4355.22,4331.06,4344.39,11250.0
2026-06-17 17:00:00,4344.23,4348.33,4343.69,4347.79,6368.0
2026-06-17 17:15:00,4347.82,4359.8,4346.71,4355.32,6160.0
2026-06-17 17:30:00,4355.22,4360.99,4354.36,4358.09,4405.0
2026-06-17 17:45:00,4358.17,4364.54,4357.23,4363.25,4130.0
2026-06-17 18:00:00,4363.34,4365.55,4360.35,4362.05,4100.0
2026-06-17 18:15:00,4361.96,4366.28,4360.47,4365.01,3431.0
2026-06-17 18:30:00,4364.96,4365.05,4354.95,4357.45,3550.0
2026-06-17 18:45:00,4357.43,4359.47,4355.85,4359.32,3094.0
2026-06-17 19:00:00,4359.21,4360.99,4355.19,4358.76,4163.0
2026-06-17 19:15:00,4358.74,4363.86,4357.7,4361.07,4108.0
2026-06-17 19:30:00,4361.16,4382.04,4360.71,4376.22,7024.0
2026-06-17 19:45:00,4376.24,4382.1,4373.86,4379.86,4553.0
2026-06-17 20:00:00,4379.76,4379.76,4276.89,4283.97,26111.0
2026-06-17 20:15:00,4284.2,4308.28,4282.69,4292.49,17236.0
2026-06-17 20:30:00,4292.21,4326.88,4269.46,4323.51,29397.0
2026-06-17 20:45:00,4323.48,4332.07,4278.46,4285.85,19437.0
2026-06-17 21:00:00,4285.73,4295.32,4260.18,4264.46,22314.0
2026-06-17 21:15:00,4264.57,4265.32,4226.23,4226.79,15658.0
2026-06-17 21:30:00,4226.76,4235.7,4218.85,4230.49,18128.0
2026-06-17 21:45:00,4230.66,4246.76,4229.55,4235.48,14121.0
2026-06-17 22:00:00,4235.05,4259.94,4234.85,4257.43,7559.0
2026-06-17 22:15:00,4257.41,4269.76,4253.96,4258.18,6035.0
2026-06-17 22:30:00,4258.2,4265.37,4258.04,4259.95,4261.0
2026-06-17 22:45:00,4260.05,4262.32,4255.94,4257.66,2708.0
2026-06-18 00:00:00,4256.75,4268.0,4254.12,4265.27,2283.0
2026-06-18 00:15:00,4265.43,4271.16,4264.8,4266.99,1988.0
2026-06-18 00:30:00,4266.75,4268.78,4263.31,4263.83,1926.0
2026-06-18 00:45:00,4263.87,4270.78,4260.27,4266.6,2724.0
2026-06-18 01:00:00,4266.51,4282.13,4263.96,4281.68,3157.0
2026-06-18 01:15:00,4281.7,4283.78,4275.33,4279.95,3889.0
2026-06-18 01:30:00,4279.93,4282.58,4267.69,4276.03,3664.0
2026-06-18 01:45:00,4276.04,4279.28,4272.13,4277.85,3569.0
2026-06-18 02:00:00,4277.93,4299.08,4276.37,4297.24,6952.0
2026-06-18 02:15:00,4297.23,4301.11,4294.48,4300.45,5522.0
2026-06-18 02:30:00,4300.3,4311.43,4299.46,4310.82,5406.0
2026-06-18 02:45:00,4310.74,4315.14,4308.07,4308.32,5091.0
2026-06-18 03:00:00,4308.34,4328.26,4306.77,4322.8,8950.0
2026-06-18 03:15:00,4322.82,4323.45,4314.79,4318.99,5683.0
2026-06-18 03:30:00,4319.11,4324.97,4316.75,4322.31,5914.0
2026-06-18 03:45:00,4322.26,4326.0,4317.16,4317.7,4724.0
2026-06-18 04:00:00,4317.8,4329.84,4316.1,4326.91,4915.0
2026-06-18 04:15:00,4326.93,4329.54,4323.18,4324.26,3493.0
2026-06-18 04:30:00,4324.22,4325.28,4315.91,4316.32,4804.0
2026-06-18 04:45:00,4316.43,4318.74,4310.21,4310.76,4502.0
2026-06-18 05:00:00,4310.74,4316.22,4308.93,4311.51,4100.0
2026-06-18 05:15:00,4311.64,4316.66,4310.47,4314.46,3918.0
2026-06-18 05:30:00,4314.52,4322.36,4313.5,4318.74,3389.0
2026-06-18 05:45:00,4318.72,4320.66,4316.46,4319.53,2301.0
2026-06-18 06:00:00,4319.55,4323.79,4314.4,4317.22,2662.0
2026-06-18 06:15:00,4317.24,4318.86,4311.46,4313.49,2691.0
2026-06-18 06:30:00,4313.45,4318.09,4309.66,4309.89,3154.0
2026-06-18 06:45:00,4309.86,4317.12,4309.48,4315.57,3078.0
2026-06-18 07:00:00,4315.59,4318.14,4312.19,4315.82,3176.0
