timestamp,open,high,low,close,volume
2026-05-01 18:00:00,4643.06,4649.92,4633.82,4638.8,21299.0
2026-05-01 19:00:00,4638.71,4642.61,4626.71,4629.33,15509.0
2026-05-01 20:00:00,4629.36,4630.56,4613.61,4624.02,17347.0
2026-05-01 21:00:00,4624.1,4627.54,4608.59,4610.57,15378.0
2026-05-01 22:00:00,4610.68,4616.93,4606.9,4614.28,9078.0
2026-05-04 00:00:00,4632.01,4642.35,4612.25,4618.68,12263.0
2026-05-04 01:00:00,4618.67,4620.72,4611.04,4613.76,11398.0
2026-05-04 02:00:00,4613.73,4616.41,4601.54,4612.89,17510.0
2026-05-04 03:00:00,4612.81,4613.88,4592.57,4612.93,16458.0
2026-05-04 04:00:00,4612.8,4618.43,4590.77,4605.74,16134.0
2026-05-04 05:00:00,4605.65,4617.04,4598.25,4614.9,15252.0
2026-05-04 06:00:00,4614.91,4615.29,4605.09,4605.8,11704.0
2026-05-04 07:00:00,4605.79,4612.99,4592.12,4598.89,17884.0
2026-05-04 08:00:00,4598.7,4600.56,4583.39,4588.27,19168.0
2026-05-04 09:00:00,4588.27,4593.23,4577.71,4578.83,17124.0
2026-05-04 10:00:00,4578.9,4581.24,4573.52,4576.75,16648.0
2026-05-04 11:00:00,4576.86,4584.36,4571.9,4575.26,11860.0
2026-05-04 12:00:00,4575.24,4575.69,4525.94,4562.5,38240.0
2026-05-04 13:00:00,4562.49,4570.53,4551.23,4560.19,23554.0
2026-05-04 14:00:00,4560.28,4579.11,4559.16,4568.2,23372.0
2026-05-04 15:00:00,4568.28,4575.52,4555.54,4563.9,33979.0
2026-05-04 16:00:00,4563.79,4583.05,4553.37,4561.23,31948.0
2026-05-04 17:00:00,4561.25,4565.82,4512.25,4521.4,50261.0
2026-05-04 18:00:00,4521.41,4526.89,4500.66,4510.55,36847.0
2026-05-04 19:00:00,4510.62,4531.57,4510.62,4522.24,22845.0
2026-05-04 20:00:00,4522.26,4525.25,4509.73,4516.02,17388.0
2026-05-04 21:00:00,4515.96,4527.0,4511.13,4517.55,19857.0
2026-05-04 22:00:00,4517.45,4523.64,4511.6,4523.61,7264.0
2026-05-05 00:00:00,4523.26,4525.66,4515.44,4517.4,6002.0
2026-05-05 01:00:00,4517.39,4521.51,4516.09,4518.9,6222.0
2026-05-05 02:00:00,4518.89,4530.2,4513.29,4529.6,14992.0
2026-05-05 03:00:00,4529.5,4541.76,4525.11,4540.74,15290.0
2026-05-05 04:00:00,4540.81,4546.56,4534.49,4538.9,11620.0
2026-05-05 05:00:00,4538.89,4542.49,4532.24,4534.42,8855.0
2026-05-05 06:00:00,4534.4,4536.46,4527.86,4533.56,9379.0
2026-05-05 07:00:00,4533.55,4551.64,4531.27,4545.45,14774.0
2026-05-05 08:00:00,4545.47,4551.79,4533.68,4547.95,16179.0
2026-05-05 09:00:00,4547.88,4558.21,4543.16,4545.39,16055.0
2026-05-05 10:00:00,4545.38,4559.52,4545.28,4558.37,16177.0
2026-05-05 11:00:00,4558.34,4560.28,4550.97,4556.03,14230.0
2026-05-05 12:00:00,4556.07,4556.74,4539.94,4543.58,13319.0
2026-05-05 13:00:00,4543.59,4564.75,4539.71,4562.48,16412.0
2026-05-05 14:00:00,4562.6,4574.41,4554.04,4564.21,20430.0
2026-05-05 15:00:00,4564.22,4584.74,4563.98,4579.25,23139.0
2026-05-05 16:00:00,4579.61,4586.5,4565.71,4582.21,25578.0
2026-05-05 17:00:00,4582.24,4583.73,4568.19,4568.36,18091.0
2026-05-05 18:00:00,4568.34,4568.82,4553.44,4561.02,16320.0
2026-05-05 19:00:00,4561.03,4562.58,4553.08,4559.65,14105.0
2026-05-05 20:00:00,4559.75,4565.61,4557.5,4560.92,11055.0
2026-05-05 21:00:00,4560.9,4561.32,4551.43,4554.65,10577.0
2026-05-05 22:00:00,4554.67,4559.85,4553.8,4557.4,6453.0
2026-05-06 00:00:00,4559.51,4576.9,4546.05,4573.18,11285.0
2026-05-06 01:00:00,4573.2,4595.5,4569.25,4593.83,16877.0
2026-05-06 02:00:00,4593.85,4619.73,4588.06,4618.65,18233.0
2026-05-06 03:00:00,4618.58,4628.53,4609.33,4625.88,20598.0
2026-05-06 04:00:00,4625.87,4641.72,4625.14,4640.52,14448.0
2026-05-06 05:00:00,4640.44,4651.97,4638.36,4643.65,13112.0
2026-05-06 06:00:00,4643.6,4653.51,4643.23,4648.82,12545.0
2026-05-06 07:00:00,4648.83,4663.74,4644.44,4662.78,14150.0
2026-05-06 08:00:00,4662.77,4669.55,4656.95,4669.09,16776.0
2026-05-06 09:00:00,4669.11,4681.61,4657.23,4681.19,16631.0
2026-05-06 10:00:00,4681.18,4702.55,4671.47,4700.07,22656.0
2026-05-06 11:00:00,4700.17,4708.36,4688.82,4701.61,24103.0
2026-05-06 12:00:00,4701.69,4722.79,4695.34,4717.78,22916.0
2026-05-06 13:00:00,4717.74,4721.12,4690.74,4691.66,24203.0
2026-05-06 14:00:00,4691.7,4692.7,4660.15,4683.07,29615.0
2026-05-06 15:00:00,4683.2,4707.43,4668.66,4702.07,69330.0
2026-05-06 16:00:00,4701.97,4717.17,4697.5,4702.9,30394.0
2026-05-06 17:00:00,4702.88,4705.74,4687.49,4687.5,21946.0
2026-05-06 18:00:00,4687.54,4691.96,4679.27,4682.91,18439.0
2026-05-06 19:00:00,4682.92,4687.91,4678.83,4683.96,15288.0
2026-05-06 20:00:00,4683.98,4690.39,4681.79,4685.85,11314.0
2026-05-06 21:00:00,4685.9,4699.97,4685.88,4692.28,12732.0
2026-05-06 22:00:00,4692.3,4699.43,4685.06,4690.8,8784.0
2026-05-07 00:00:00,4691.7,4699.77,4689.34,4694.73,8666.0
2026-05-07 01:00:00,4694.71,4699.45,4690.02,4698.76,8941.0
2026-05-07 02:00:00,4698.68,4700.98,4685.34,4688.56,18669.0
2026-05-07 03:00:00,4688.55,4721.13,4685.08,4714.6,23321.0
2026-05-07 04:00:00,4714.55,4718.33,4699.79,4707.07,17642.0
2026-05-07 05:00:00,4706.99,4709.8,4698.87,4699.05,11963.0
2026-05-07 06:00:00,4699.04,4700.8,4692.25,4696.25,11465.0
2026-05-07 07:00:00,4696.17,4706.4,4694.63,4700.96,13718.0
2026-05-07 08:00:00,4700.97,4749.93,4700.92,4738.98,22531.0
2026-05-07 09:00:00,4738.83,4750.51,4731.4,4742.99,25192.0
2026-05-07 10:00:00,4743.07,4753.28,4730.75,4731.0,21401.0
2026-05-07 11:00:00,4730.91,4739.26,4721.61,4728.8,17818.0
2026-05-07 12:00:00,4728.81,4739.59,4726.41,4735.5,15774.0
2026-05-07 13:00:00,4735.66,4743.46,4726.96,4742.48,17872.0
2026-05-07 14:00:00,4742.55,4752.57,4733.03,4749.97,23646.0
2026-05-07 15:00:00,4749.96,4758.05,4731.05,4746.18,31598.0
2026-05-07 16:00:00,4746.13,4763.18,4740.85,4762.54,27948.0
2026-05-07 17:00:00,4762.59,4764.51,4726.17,4729.09,29690.0
2026-05-07 18:00:00,4729.18,4729.57,4704.29,4714.73,33251.0
2026-05-07 19:00:00,4714.75,4719.4,4687.54,4711.3,35976.0
2026-05-07 20:00:00,4711.39,4715.91,4695.51,4709.55,27520.0
2026-05-07 21:00:00,4709.64,4712.83,4697.62,4702.91,25316.0
2026-05-07 22:00:00,4702.75,4719.05,4686.15,4686.99,18969.0
2026-05-08 00:00:00,4678.17,4699.15,4676.11,4685.74,13801.0
2026-05-08 01:00:00,4685.62,4705.34,4684.45,4704.08,10440.0
2026-05-08 02:00:00,4704.16,4709.4,4693.78,4701.21,16949.0
2026-05-08 03:00:00,4701.19,4725.32,4700.52,4722.72,21497.0
2026-05-08 04:00:00,4722.78,4732.63,4706.88,4713.1,19531.0
2026-05-08 05:00:00,4713.02,4730.93,4710.92,4719.45,13539.0
