id,datetime_utc,epic,source,direction,entry_price,sl,tp,rr,size,riesgo_usd,rsi,atr,ema_align,h1_trend,h4_trend,deal_id,equity_before,notas
1,2026-05-29 09:35,GOLD,M15,BUY,4526.93,4513.3,4545.1,1.33,0.26,3.54,62.2,9.09,ALCISTA,ALCISTA,MIXTA,00601567-0001-54c4-0000-0000907e0865,351.7,M15 REAL
2,2026-05-29 11:20,GOLD,M15,BUY,4531.64,4519.31,4548.09,1.33,0.29,3.58,56.6,8.22,ALCISTA,ALCISTA,MIXTA,00601567-0001-54c4-0000-0000907eae71,351.7,M15 REAL
3,2026-05-29 14:50,GOLD,M15,BUY,4540.71,4522.97,4564.36,1.33,0.2,3.55,54.4,11.83,ALCISTA,ALCISTA,MIXTA,00601567-0001-54c4-0000-00009080739d,348.41,M15 REAL
4,2026-06-09 07:30,GOLD,M15,SELL,4329.91,4342.14,4313.61,1.33,0.62,7.58,45.1,8.15,BAJISTA,MIXTA,BAJISTA,00601567-0001-54c4-0000-000090b72959,381.78,M15 REAL
5,2026-06-11 14:45,GOLD,M15,SELL,4077.62,4102.63,4044.27,1.33,0.3,7.5,44.8,16.67,BAJISTA,BAJISTA,BAJISTA,00601567-0001-54c4-0000-000090cf7264,375.07,M15 REAL
6,2026-06-15 14:47,GOLD,M15,BUY,4355.99,4340.87,4376.15,1.33,0.49,7.41,63.8,10.08,ALCISTA,ALCISTA,MIXTA,00601567-0001-54c4-0000-000090e12800,368.13,M15 REAL
7,2026-06-22 14:46,GOLD,M15,SELL,4196.18,4211.54,4175.7,1.33,0.49,7.53,38.4,10.24,BAJISTA,MIXTA,BAJISTA,00601567-0001-54c4-0000-000091068cb6,373.82,M15 REAL
8,2026-06-23 02:46,GOLD,M15,SELL,4154.96,4171.35,4133.11,1.33,0.47,7.7,32.6,10.92,BAJISTA,BAJISTA,BAJISTA,00601567-0001-54c4-0000-0000910796e1,383.21,M15 REAL
