datetime_utc,epic,direction,entry_price,sl,tp,rr,size_teorico,riesgo_teorico_usd,rsi,atr,ema_align,resultado,pnl_teorico_usd,notas
2026-05-29 09:35,GOLD,BUY,4526.93,4513.3,4545.1,1.33,0.26,3.54,62.2,9.09,ALCISTA,CERRADO,0.0,M15 REAL | AUTO-CERRADO CERRADO 2026-06-09 22:34
2026-05-29 11:20,GOLD,BUY,4531.64,4519.31,4548.09,1.33,0.29,3.58,56.6,8.22,ALCISTA,CERRADO,0.0,M15 REAL | AUTO-CERRADO CERRADO 2026-06-09 22:34
2026-05-29 14:50,GOLD,BUY,4540.71,4522.97,4564.36,1.33,0.2,3.55,54.4,11.83,ALCISTA,CERRADO,0.0,M15 REAL | AUTO-CERRADO CERRADO 2026-06-09 22:34
2026-06-09 07:30,GOLD,SELL,4329.91,4342.14,4313.61,1.33,0.62,7.58,45.1,8.15,BAJISTA,SL,-7.58,M15 REAL | AUTO-CERRADO SL 2026-06-09 22:34
2026-06-11 14:45,GOLD,SELL,4077.62,4102.63,4044.27,1.33,0.3,7.5,44.8,16.67,BAJISTA,SL,-7.5,M15 REAL | eq_open=375.07 | AUTO-CERRADO SL 2026-06-11 16:15
2026-06-15 14:47,GOLD,BUY,4355.99,4340.87,4376.15,1.33,0.49,7.41,63.8,10.08,ALCISTA,SL,-7.41,M15 REAL | eq_open=368.13 | AUTO-CERRADO SL 2026-06-15 16:31
2026-06-22 14:46,GOLD,SELL,4196.18,4211.54,4175.7,1.33,0.49,7.53,38.4,10.24,BAJISTA,TP,10.04,M15 REAL | eq_open=373.82 | AUTO-CERRADO TP 2026-06-22 16:01
2026-06-23 02:46,GOLD,SELL,4154.96,4171.35,4133.11,1.33,0.47,7.7,32.6,10.92,BAJISTA,TP,10.27,M15 REAL | eq_open=383.21 | AUTO-CERRADO TP 2026-06-24 07:01
2026-07-02 08:28,GOLD,BUY,4074.82,4060.22,4094.29,1.33,0.89,13.0,54.3,9.74,ALCISTA,OPEN | Deal:00601567-0001-54c4-0000-0000912681ac,,M15 REAL | eq_open=646.51
